id,ingredients
272,"Gin, Water, Powdered sugar, Lemon peel"
273,"Cachaca, Lemon Juice, Agave Syrup, Champagne"
274,"Red wine, Water, Sugar, Cinnamon, Cloves, Lemon peel"
275,"Vodka, Amaretto, Heavy cream"
276,"Scotch, Amaretto"
277,"Vodka, Amaretto"
278,"Galliano, Triple Sec, orange juice, Cream"
279,"Malibu rum, Peach schnapps, Blue Curacao, Sweet and sour"
280,"Grapes, Lemon, Pineapple"
281,"Gin, Triple sec, Pineapple juice, Grenadine, Pineapple"
282,"Green Creme de Menthe, Creme de Cacao, Light cream"
283,"Cider, Lager, Blue Curacao"
284,"Kahlua, 151 proof rum, Grenadine"
285,"Amaretto, Jägermeister, Kahlua, Milk"
286,"Whisky, Bailey's irish cream, Coffee"
287,"Spiced rum, Ginger ale, Lime, Ice"
288,"Vodka, Galliano, Orange juice"
289,"Light rum, Pineapple juice, Lemon juice"
290,"Gin, Triple sec, Pineapple juice"
291,"Rum, Grapefruit Juice, Maraschino Liqueur, Lime Juice"
292,"Hot Damn, Tea"
293,"Scotch, Sweet Vermouth, Orange bitters, Olive"
294,"Grape juice, Carbonated soft drink, Sherbet, Sherbet"
295,"Sugar, Corn syrup, Coffee, Vanilla extract, Water, Vodka"
296,"Lemon peel, Brandy, Ginger ale, Bitters"
297,"Chocolate, Butter, Vanilla extract, Half-and-half, Marshmallows"
298,"Irish whiskey, Bailey's irish cream, Coffee"
299,"Vodka, Iced tea, Lemon juice"
300,"Coffee, Sugar, Water, Milk"
301,"Kahlua, Coffee"
302,"Lime juice, Gin, Aperol"
303,"Light rum, Blended whiskey, Lemon, Powdered sugar, Carbonated water"
304,"Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
305,"Irish whiskey, Coffee, Sugar, Whipped cream"
306,"Scotch, Half-and-half, Condensed milk, Coconut syrup, Chocolate syrup"
307,"Bailey's irish cream, Bourbon, Vodka, Orange juice"
308,"Vodka, Kahlua, Coca-Cola, Guinness stout"
309,"Irish whiskey, Peach brandy, Orange juice, Sweet and sour, Orange, Cherry"
310,"Apple brandy, Grenadine, Lime"
311,"Ice, Tennessee whiskey, Vanilla extract, Coca-Cola"
312,"Jack Daniels, Amaretto"
313,"Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
314,"Coffee liqueur, Light rum, Ice, Milk"
315,"Rum, Coffee, Water, Whipped cream"
316,"Blended whiskey, Lemon, Powdered sugar, Port, Egg white, Carbonated water"
317,"Vodka, Jello, Water"
318,"Blackberry brandy, Anis"
319,"Gin, Green Chartreuse, Yellow Chartreuse"
320,"Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
321,"Bourbon, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange"
322,"Milk, Chocolate syrup, Mint syrup"
323,"Vodka, Triple sec, Lime juice"
324,"Coffee, Grain alcohol"
325,"Bourbon, Benedictine"
326,"Bourbon, Benedictine, Lemon peel"
327,"Ginger, Lemon, Water"
328,"Kahlua, Brandy, Coffee"
